Periodo,USD/CLP,11 month expected MPR,Ex-Ante Real Rate,M1,M2,REER,Oil Price,Core CPI M/M_sa,Overall PPI_sa,Manufacturing PPI_sa,Mining PPI_sa,Utilities PPI_sa,Agri PPI_sa,IMACEC Total_sa,IMACEC Production of Goods_sa,IMACEC Commerce_sa,IMACEC Services_sa,IMACEC Factor Cost_sa,Real Wage Growth m/m_sa,Labor Cost m/m_sa,Nominal Wage Growth m/m_sa,Unemployment Rate_sa,Headline CPI_sa
2014-03-01,0.017,4.0,1.107,0.003,0.0,0.029,0.005,0.4235267420470804,0.012238059988291273,0.011235159192877299,0.019515674917793074,0.0010798217917654682,-0.0004507049547543551,0.003846117235641766,0.0017448323953455087,0.005643541914828007,0.006109463321973874,0.0035939004569076755,0.22956254836676288,0.6582904062905707,0.5086149686652873,6.422051364983706,0.30184888607483584
2014-04-01,-0.016,3.75,1.0,0.019,0.0,0.012,-0.012,0.44687785236869987,-0.051197925168497756,0.00907428814425672,-0.10335758267831507,-0.003561718702675976,0.01620575312011907,0.009413875435161811,0.016425731517712545,0.00021035111344022694,0.0049277431143421035,0.009757847301104322,0.14159567628704886,0.636442856574885,0.5086221880920587,6.5264139905702905,0.36248178501453016
2014-05-01,0.001,3.75,0.9,0.014,-0.001,-0.017,0.002,0.4605655053011015,0.008785044195954876,0.009443125686958865,0.007812917247146771,0.0027011810270696937,0.0024203928363483044,0.004403840291038536,0.007007600486188453,0.006080954509916494,0.003875668237722273,0.00558568408831887,0.5376190597976402,0.7678889405447064,1.3570029347716812,6.306129814008462,0.29805446498029003
2014-06-01,-0.004,3.5,1.0,0.01,0.003,-0.0,0.018,0.44243200469080873,0.007542888569040052,0.006844918112052626,0.006579656661218541,0.007175834442549348,-0.0023507006683474614,0.008198289363405342,0.008291840745150807,0.030359772018596118,0.00329302732660941,0.00773790818851242,0.17560957568929247,0.6961462455202048,0.5586726812801446,6.172679365603247,0.3479965921845656
2014-07-01,0.009,3.5,0.875,-0.009,0.008,-0.007,0.019,0.3467272704376396,0.009740748742641744,0.0018153620605307155,0.018372464378692284,0.0006051809462768523,0.006659676843859187,-0.0011288418884193435,-0.005767843676374937,-0.007807025853901306,0.004886373875055822,-0.0012022355216102995,0.34049282888228044,0.47423028916140086,0.4312720768598728,6.316662978623984,0.06751206712774224
2014-08-01,0.037,3.0,0.625,-0.014,0.004,0.01,-0.045,0.35246388966794995,0.013512850325144377,0.00437247895486548,0.015237930783665393,0.001914090354076716,-0.0015837576816589184,0.004363027585585259,0.014723294923281467,0.011566203327833627,0.0029677497122821833,0.005541072880038703,0.3203778626696645,0.5329509458053426,0.5131717142736605,6.345275515596546,0.24918256556522572
2014-09-01,0.025,3.0,0.162,0.028,0.006,0.027,-0.048,0.46012748726631836,0.008995022839594871,0.0007672907265866939,0.012660148655544544,0.005522762701177044,-0.001609084503067449,0.00719078443585526,0.004457841766855837,0.027992715178960986,0.004748784773505266,0.006498617039130121,0.2627995726312816,0.4992917750055697,0.5325959366453137,6.48725417411013,0.3147321000173376
2014-10-01,-0.006,3.0,-0.164,-0.018,0.003,0.005,-0.042,0.5074058414941415,0.0030368681658983093,0.006435683989717876,0.002119033514562107,0.0009710883742776143,0.008307396679174843,-0.00390714880697118,-0.002905627471867407,-0.006328202605567797,0.0025333868051194072,-0.003198501025419305,0.09536410318732985,0.5148687933817279,0.446768251596927,6.450770951764624,0.42094337147474503
2014-11-01,0.004,3.0,-0.1,0.05,0.028,-0.031,-0.101,0.41894938221828926,0.0035283923123239722,0.009445165619124257,-0.0024384183049293226,0.0070051293065079194,0.009524952346979827,0.00839942864490223,0.016798736829693434,0.009954403765602096,0.006197608966237986,0.010492068799669504,-0.08735801791819175,0.6762450036077565,0.5317200059043286,6.463019721308695,1.0601989805351313
2014-12-01,0.035,2.75,0.3,0.064,0.025,-0.011,-0.097,0.43394630910794774,0.010383362838724056,-0.00162063947898014,0.019314419049230987,0.01824527999902963,-0.0011227842563790065,-0.0016235468723928368,-0.006857961773761339,-0.017908344700025742,0.005282961799157354,-0.0019890198141863623,0.22856797260447537,0.639628946210115,0.5644190929844473,6.445341683373131,0.2960239046562264
2015-01-01,0.013,2.5,0.3,-0.003,0.002,0.019,-0.212,0.45697304679223166,0.008417656669435837,0.0054650239213049545,0.011778869501124778,0.0033740274443030856,-0.004801837731914175,0.0020481064073786734,0.0002058157026468832,0.013327565312825668,0.004681044522089839,0.0020532088198272104,0.3605960003103046,0.5702994796296745,0.5657598501220641,6.626165351437702,0.18725343506434022
